SUPPLIER_CODE;CUSTOMER_CODE;DISTRIBUTOR_CODE;STORE_CODE;PRINCIPAL_CONNECTION_STORE_ID;PM_HANDLING;IS_PRODUCT_MAPPING;IS_BKL;NOTIFICATION_CODE;STATUS;FARMINDO_STORE;SALESMAN_CODE;SALESMAN_NAME;WAREHOUSE_CODE;NOTIFICATION_ALERT_CODE
0028027;MAKROINDO;kaoptjkt;06030;17869964;I;Y;N;;A;makroptpknsari;;;;
022060;MAKROINDO;kaoptjkt;06021;17816496;I;Y;N;;A;makroptjtb;;;;
022060;MAKROINDO;kaoptjkt;06026;17817992;I;Y;N;;A;makroptbgr;;;;
022060;MAKROINDO;kaoptjkt;06003;20002282;I;Y;N;;A;makroptkgb;;;;
022060;MAKROINDO;kaoptjkt;06007;20003987;I;Y;N;;A;makroptasb;;;;
022060;MAKROINDO;kaoptjkt;06006;20003824;I;Y;N;;A;makroptcpb;;;;
022060;MAKROINDO;kaoptjkt;06004;20003800;I;Y;N;;A;makroptmyb;;;;
022060;MAKROINDO;kaoptsby;06002;95004478;I;Y;N;;A;makroptsdb;;;;
022060;MAKROINDO;kaoptdpsr;06009;93001301;I;Y;N;;A;makroptdpb;;;;
022060;MAKROINDO;kaoptjkt;06008;20004018;I;Y;N;;A;makroptcbb;;;;
022060;MAKROINDO;kaoptsmg;06011;61000880;I;Y;N;;A;makroptsmb;;;;
022060;MAKROINDO;kaoptjkt;06039;17869983;I;Y;N;;A;makropttgerang;;;;
022060;MAKROINDO;kaoptbdg;06005;59001035;I;Y;N;;A;makroptbdb;;;;
022060;MAKROINDO;kaoptjkt;06023;17816800;I;Y;N;;A;makroptckb;;;;
022060;MAKROINDO;kaoptjkt;06018;17802198;I;Y;N;;A;makroptbkb;;;;
022060;MAKROINDO;kaoptjkt;06001;20002706;I;Y;N;;A;makrobaru;;;;
022060;MAKROINDO;kaoptjkt;06034;17869922;I;Y;N;;A;makroptkrwg;;;;
022060;MAKROINDO;kaoptslo;06019;17844551;I;Y;N;;A;makroptslb;;;;
022060;MAKROINDO;kaoptjkt;06030;17869964;I;Y;N;;A;makroptpknsari;;;;
028027;MAKROINDO;kaoptdpsr;06009;93001301;I;Y;N;;A;makroptdpb;;;;
028027;MAKROINDO;kaoptjkt;06021;17816496;I;Y;N;;A;makroptjtb;;;;
028027;MAKROINDO;kaoptjkt;06003;20002282;I;Y;N;;A;makroptkgb;;;;
028027;MAKROINDO;kaoptjkt;06039;17869983;I;Y;N;;A;makropttgerang;;;;
028027;MAKROINDO;kaoptbdg;06005;59001035;I;Y;N;;A;makroptbdb;;;;
028027;MAKROINDO;kaoptjkt;06023;17816800;I;Y;N;;A;makroptckb;;;;
028027;MAKROINDO;kaoptjkt;06006;20003824;I;Y;N;;A;makroptcpb;;;;
028027;MAKROINDO;kaoptjkt;06034;17869922;I;Y;N;;A;makroptkrwg;;;;
028027;MAKROINDO;kaoptjkt;06004;20003800;I;Y;N;;A;makroptmyb;;;;
028027;MAKROINDO;kaoptslo;06019;17844551;I;Y;N;;A;makroptslb;;;;
028027;MAKROINDO;kaoptjkt;06030;17869964;I;Y;N;;A;makroptpknsari;;;;
028027;MAKROINDO;kaoptsby;06002;95004478;I;Y;N;;A;makroptsdb;;;;
028027;MAKROINDO;kaoptjkt;06001;20002706;I;Y;N;;A;makrobaru;;;;
028027;MAKROINDO;kaoptjkt;06018;17802198;I;Y;N;;A;makroptbkb;;;;
028027;MAKROINDO;kaoptsmg;06011;61000880;I;Y;N;;A;makroptsmb;;;;
028027;MAKROINDO;kaoptjkt;06008;20004018;I;Y;N;;A;makroptcbb;;;;
028027;MAKROINDO;kaoptjkt;06007;20003987;I;Y;N;;A;makroptasb;;;;
028027;MAKROINDO;kaoptjkt;06026;17817992;I;Y;N;;A;makroptbgr;;;;
031400;MAKROINDO;kaoptbdg;06036;17871430;I;Y;N;;A;makroptcmhi;;;;
031400;MAKROINDO;kaoptbdg;06005;59001035;I;Y;N;;A;makroptbdb;;;;
031401;MAKROINDO;kaoptmdn;06010;88000088;I;Y;N;;A;makroptmdb;;;;
031403;MAKROINDO;kaoptslo;06019;17844551;I;Y;N;;A;makroptslb;;;;
031493;MAKROINDO;kaoptsmg;06011;61000880;I;Y;N;;A;makroptsmb;;;;
031497;MAKROINDO;kaoptsby;06028;17863294;I;Y;N;;A;makropttri;;;;
031497;MAKROINDO;kaoptsby;06002;95004478;I;Y;N;;A;makroptsdb;;;;
031936;MAKROINDO;kaoptmks;06013;17896031;I;Y;N;;A;makroptmkb;;;;
032043;MAKROINDO;kaoptygy;06016;17844432;I;Y;N;;A;makroptygb;;;;
032074;MAKROINDO;kaoptygy;06016;17844432;I;Y;N;;A;makroptygb;;;;
032074;MAKROINDO;kaoptslo;06019;17844551;I;Y;N;;A;makroptslb;;;;
032077;MAKROINDO;kaoptmks;06013;17896031;I;Y;N;;A;makroptmkb;;;;
032088;MAKROINDO;kaoptsmg;06011;61000880;I;Y;N;;A;makroptsmb;;;;
032091;MAKROINDO;kaoptmdn;06010;88000088;I;Y;N;;A;makroptmdb;;;;
032095;MAKROINDO;kaoptbdg;06005;59001035;I;Y;N;;A;makroptbdb;;;;
032095;MAKROINDO;kaoptbdg;06036;17871430;I;Y;N;;A;makroptcmhi;;;;
032098;MAKROINDO;kaoptsby;06028;17863294;I;Y;N;;A;makropttri;;;;
032098;MAKROINDO;kaoptsby;06002;95004478;I;Y;N;;A;makroptsdb;;;;
22060;MAKROINDO;kaoptjkt;06001;20002706;I;Y;N;;A;makrobaru;;;;
22060;MAKROINDO;kaoptjkt;06007;20003987;I;Y;N;;A;makroptasb;;;;
22060;MAKROINDO;kaoptjkt;06003;20002282;I;Y;N;;A;makroptkgb;;;;
22060;MAKROINDO;kaoptsby;06002;95004478;I;Y;N;;A;makroptsdb;;;;
22060;MAKROINDO;kaoptjkt;06023;17816800;I;Y;N;;A;makroptckb;;;;
22060;MAKROINDO;kaoptjkt;06018;17802198;I;Y;N;;A;makroptbkb;;;;
22060;MAKROINDO;kaoptjkt;06008;20004018;I;Y;N;;A;makroptcbb;;;;
22060;MAKROINDO;kaoptbdg;06005;59001035;I;Y;N;;A;makroptbdb;;;;
22060;MAKROINDO;kaoptjkt;06021;17816496;I;Y;N;;A;makroptjtb;;;;
22060;MAKROINDO;kaoptdpsr;06009;93001301;I;Y;N;;A;makroptdpb;;;;
22060;MAKROINDO;kaoptsmg;06011;61000880;I;Y;N;;A;makroptsmb;;;;
22060;MAKROINDO;kaoptslo;06019;17844551;I;Y;N;;A;makroptslb;;;;
22060;MAKROINDO;kaoptjkt;06004;20003800;I;Y;N;;A;makroptmyb;;;;
22060;MAKROINDO;kaoptjkt;06006;20003824;I;Y;N;;A;makroptcpb;;;;
28027;MAKROINDO;kaoptslo;06019;17844551;I;Y;N;;A;makroptslb;;;;
28027;MAKROINDO;kaoptjkt;06003;20002282;I;Y;N;;A;makroptkgb;;;;
28027;MAKROINDO;kaoptjkt;06001;20002706;I;Y;N;;A;makrobaru;;;;
28027;MAKROINDO;kaoptsby;06002;95004478;I;Y;N;;A;makroptsdb;;;;
28027;MAKROINDO;kaoptjkt;06007;20003987;I;Y;N;;A;makroptasb;;;;
28027;MAKROINDO;kaoptbdg;06005;59001035;I;Y;N;;A;makroptbdb;;;;
28027;MAKROINDO;kaoptjkt;06008;20004018;I;Y;N;;A;makroptcbb;;;;
28027;MAKROINDO;kaoptjkt;06018;17802198;I;Y;N;;A;makroptbkb;;;;
28027;MAKROINDO;kaoptjkt;06023;17816800;I;Y;N;;A;makroptckb;;;;
28027;MAKROINDO;kaoptsmg;06011;61000880;I;Y;N;;A;makroptsmb;;;;
28027;MAKROINDO;kaoptjkt;06004;20003800;I;Y;N;;A;makroptmyb;;;;
28027;MAKROINDO;kaoptjkt;06006;20003824;I;Y;N;;A;makroptcpb;;;;
28027;MAKROINDO;kaoptdpsr;06009;93001301;I;Y;N;;A;makroptdpb;;;;
28027;MAKROINDO;kaoptjkt;06021;17816496;I;Y;N;;A;makroptjtb;;;;